"2019-09-20";"06:12:17";"WinControl (rev 848) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2019-09-20 04:42:41.773";"2019-09-20";"04:42:41";"SCHS";"";"Chart start ";""
"2019-09-20 04:42:41.774";"2019-09-20";"04:42:41";"FO";"1810";"507";"1246";"0";"0.593";"0.0"
"2019-09-20 04:43:02.088";"2019-09-20";"04:43:02";"F";"1811";"713";"1042";"60";"0.316";"8.0"
"2019-09-20 04:43:23.275";"2019-09-20";"04:43:23";"F";"1812";"564";"824";"85";"0.316";"11.3"
"2019-09-20 04:43:44.089";"2019-09-20";"04:43:44";"F";"1813";"520";"722";"120";"0.280";"14.1"
"2019-09-20 04:44:06.463";"2019-09-20";"04:44:06";"F";"1814";"503";"648";"198";"0.224";"18.6"
"2019-09-20 04:46:40.838";"2019-09-20";"04:46:40";"FO";"1815";"276";"564";"0";"0.511";"0.0"
"2019-09-20 04:47:01.653";"2019-09-20";"04:47:01";"F";"1816";"257";"405";"60";"0.365";"9.2"
"2019-09-20 04:47:22.464";"2019-09-20";"04:47:22";"F";"1817";"190";"305";"85";"0.377";"13.5"
"2019-09-20 04:47:44.837";"2019-09-20";"04:47:44";"F";"1818";"164";"258";"120";"0.364";"18.3"
"2019-09-20 04:48:04.965";"2019-09-20";"04:48:04";"F";"1819";"150";"222";"198";"0.324";"26.9"
"2019-09-20 04:48:26.588";"2019-09-20";"04:48:26";"F";"1820";"141";"193";"295";"0.269";"33.3"
"2019-09-20 04:48:47.779";"2019-09-20";"04:48:47";"F";"1821";"131";"172";"475";"0.238";"47.5"
"2019-09-20 04:49:08.588";"2019-09-20";"04:49:08";"F";"1822";"127";"155";"700";"0.181";"53.2"
"2019-09-20 04:49:30.965";"2019-09-20";"04:49:30";"F";"1823";"127";"142";"1250";"0.106";"55.7"
"2019-09-20 04:51:58.399";"2019-09-20";"04:51:58";"FO";"1824";"419";"950";"0";"0.559";"0.0"
"2019-09-20 04:52:20.775";"2019-09-20";"04:52:20";"F";"1825";"590";"863";"60";"0.316";"8.0"
"2019-09-20 04:52:41.775";"2019-09-20";"04:52:41";"F";"1826";"599";"831";"85";"0.279";"10.0"
"2019-09-20 04:53:02.965";"2019-09-20";"04:53:02";"F";"1827";"527";"696";"120";"0.243";"12.2"
"2019-09-20 04:53:23.777";"2019-09-20";"04:53:23";"F";"1828";"504";"618";"198";"0.184";"15.3"
"2019-09-20 04:53:44.588";"2019-09-20";"04:53:44";"F";"1829";"474";"555";"295";"0.146";"18.1"
"2019-09-20 04:54:06.963";"2019-09-20";"04:54:06";"F";"1830";"448";"502";"475";"0.108";"21.5"
"2019-09-20 04:54:27.087";"2019-09-20";"04:54:27";"F";"1831";"423";"453";"700";"0.066";"19.4"
"2019-09-20 04:54:48.714";"2019-09-20";"04:54:48";"F";"1832";"398";"411";"1250";"0.032";"16.8"
"2019-09-20 04:56:41.463";"2019-09-20";"04:56:41";"FO";"1833";"275";"644";"0";"0.573";"0.0"
"2019-09-20 04:57:02.588";"2019-09-20";"04:57:02";"F";"1834";"329";"500";"60";"0.342";"8.6"
"2019-09-20 04:57:24.962";"2019-09-20";"04:57:24";"F";"1835";"262";"400";"85";"0.345";"12.3"
"2019-09-20 04:57:45.025";"2019-09-20";"04:57:45";"F";"1836";"235";"349";"120";"0.327";"16.5"
"2019-09-20 04:58:06.651";"2019-09-20";"04:58:06";"F";"1837";"221";"309";"198";"0.285";"23.7"
"2019-09-20 04:58:27.777";"2019-09-20";"04:58:27";"F";"1838";"211";"277";"295";"0.238";"29.5"
"2019-09-20 04:58:48.587";"2019-09-20";"04:58:48";"F";"1839";"200";"247";"475";"0.190";"37.9"
"2019-09-20 04:59:10.963";"2019-09-20";"04:59:10";"F";"1840";"189";"220";"700";"0.141";"41.5"
"2019-09-20 04:59:31.089";"2019-09-20";"04:59:31";"F";"1841";"179";"194";"1250";"0.077";"40.4"
"2019-09-20 05:00:35.463";"2019-09-20";"05:00:35";"FO";"1842";"543";"1560";"0";"0.652";"0.0"
"2019-09-20 05:00:56.527";"2019-09-20";"05:00:56";"F";"1843";"1289";"2011";"60";"0.359";"9.0"
"2019-09-20 05:01:17.276";"2019-09-20";"05:01:17";"F";"1844";"973";"1420";"85";"0.315";"11.2"
"2019-09-20 05:01:38.281";"2019-09-20";"05:01:38";"F";"1845";"970";"1382";"120";"0.298";"15.0"
"2019-09-20 05:01:57.963";"2019-09-20";"05:01:57";"F";"1846";"894";"1163";"198";"0.231";"19.2"
"2019-09-20 05:02:19.402";"2019-09-20";"05:02:19";"F";"1847";"979";"1152";"295";"0.150";"18.6"
"2019-09-20 05:02:40.337";"2019-09-20";"05:02:40";"F";"1848";"926";"1035";"475";"0.105";"20.9"
"2019-09-20 05:03:01.339";"2019-09-20";"05:03:01";"F";"1849";"872";"936";"700";"0.068";"20.0"
"2019-09-20 05:03:21.838";"2019-09-20";"05:03:21";"F";"1850";"793";"821";"1250";"0.034";"17.9"
"2019-09-20 05:06:11.283";"2019-09-20";"05:06:11";"FO";"1851";"292";"794";"0";"0.632";"0.0"
"2019-09-20 05:06:31.028";"2019-09-20";"05:06:31";"F";"1852";"439";"688";"60";"0.362";"9.1"
"2019-09-20 05:06:52.462";"2019-09-20";"05:06:52";"F";"1853";"348";"540";"85";"0.356";"12.7"
"2019-09-20 05:07:13.464";"2019-09-20";"05:07:13";"F";"1854";"303";"456";"120";"0.336";"16.9"
"2019-09-20 05:07:33.214";"2019-09-20";"05:07:33";"F";"1855";"287";"395";"198";"0.273";"22.7"
"2019-09-20 05:07:54.651";"2019-09-20";"05:07:54";"F";"1856";"270";"346";"295";"0.220";"27.3"
"2019-09-20 05:08:15.588";"2019-09-20";"05:08:15";"F";"1857";"258";"310";"475";"0.168";"33.5"
"2019-09-20 05:08:36.527";"2019-09-20";"05:08:36";"F";"1858";"247";"279";"700";"0.115";"33.8"
"2019-09-20 05:08:57.274";"2019-09-20";"05:08:57";"F";"1859";"239";"256";"1250";"0.066";"34.7"
"2019-09-20 05:10:39.838";"2019-09-20";"05:10:39";"FO";"1860";"413";"1191";"0";"0.653";"0.0"
"2019-09-20 05:11:01.276";"2019-09-20";"05:11:01";"F";"1861";"669";"1058";"60";"0.368";"9.3"
"2019-09-20 05:11:20.964";"2019-09-20";"05:11:20";"F";"1862";"562";"849";"85";"0.338";"12.1"
"2019-09-20 05:11:41.963";"2019-09-20";"05:11:41";"F";"1863";"543";"758";"120";"0.284";"14.3"
"2019-09-20 05:12:03.400";"2019-09-20";"05:12:03";"F";"1864";"538";"689";"198";"0.219";"18.2"
"2019-09-20 05:12:23.087";"2019-09-20";"05:12:23";"F";"1865";"526";"628";"295";"0.162";"20.1"
"2019-09-20 05:12:44.089";"2019-09-20";"05:12:44";"F";"1866";"512";"575";"475";"0.110";"21.9"
"2019-09-20 05:13:05.527";"2019-09-20";"05:13:05";"F";"1867";"491";"529";"700";"0.072";"21.2"
"2019-09-20 05:13:26.525";"2019-09-20";"05:13:26";"F";"1868";"470";"487";"1250";"0.035";"18.4"
"2019-09-20 05:14:16.030";"2019-09-20";"05:14:16";"FO";"1869";"319";"648";"0";"0.508";"0.0"
"2019-09-20 05:14:36.962";"2019-09-20";"05:14:36";"F";"1870";"330";"468";"60";"0.295";"7.4"
