"2019-09-22";"05:49:11";"WinControl (rev 848) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2019-09-22 04:38:40.805";"2019-09-22";"04:38:40";"SCHS";"";"Chart start ";""
"2019-09-22 04:38:40.806";"2019-09-22";"04:38:40";"FO";"2267";"247";"469";"0";"0.473";"0.0"
"2019-09-22 04:39:00.244";"2019-09-22";"04:39:00";"F";"2268";"332";"460";"60";"0.278";"7.0"
"2019-09-22 04:39:22.923";"2019-09-22";"04:39:22";"F";"2269";"320";"444";"85";"0.279";"10.0"
"2019-09-22 04:39:42.993";"2019-09-22";"04:39:42";"F";"2270";"325";"434";"120";"0.251";"12.7"
"2019-09-22 04:40:04.516";"2019-09-22";"04:40:04";"F";"2271";"339";"421";"198";"0.195";"16.2"
"2019-09-22 04:40:25.799";"2019-09-22";"04:40:25";"F";"2272";"345";"404";"295";"0.146";"18.1"
"2019-09-22 04:42:39.647";"2019-09-22";"04:42:39";"FO";"2273";"282";"692";"0";"0.592";"0.0"
"2019-09-22 04:43:00.806";"2019-09-22";"04:43:00";"F";"2274";"401";"648";"60";"0.381";"9.6"
"2019-09-22 04:43:21.622";"2019-09-22";"04:43:21";"F";"2275";"375";"609";"85";"0.384";"13.7"
"2019-09-22 04:43:42.447";"2019-09-22";"04:43:42";"F";"2276";"376";"581";"120";"0.353";"17.8"
"2019-09-22 04:44:04.837";"2019-09-22";"04:44:04";"F";"2277";"393";"550";"198";"0.285";"23.7"
"2019-09-22 04:44:25.156";"2019-09-22";"04:44:25";"F";"2278";"403";"519";"295";"0.224";"27.8"
"2019-09-22 04:44:46.186";"2019-09-22";"04:44:46";"F";"2279";"411";"489";"475";"0.160";"31.9"
"2019-09-22 04:45:08.275";"2019-09-22";"04:45:08";"F";"2280";"411";"460";"700";"0.107";"31.5"
"2019-09-22 04:45:28.745";"2019-09-22";"04:45:28";"F";"2281";"406";"431";"1250";"0.058";"30.5"
"2019-09-22 04:46:13.520";"2019-09-22";"04:46:13";"FO";"2282";"222";"567";"0";"0.608";"0.0"
"2019-09-22 04:46:34.673";"2019-09-22";"04:46:34";"F";"2283";"298";"493";"60";"0.396";"10.0"
"2019-09-22 04:46:55.492";"2019-09-22";"04:46:55";"F";"2284";"255";"434";"85";"0.412";"14.7"
"2019-09-22 04:47:16.306";"2019-09-22";"04:47:16";"F";"2285";"251";"406";"120";"0.382";"19.3"
"2019-09-22 04:47:37.685";"2019-09-22";"04:47:37";"F";"2286";"264";"375";"198";"0.296";"24.6"
"2019-09-22 04:47:58.944";"2019-09-22";"04:47:58";"F";"2287";"267";"347";"295";"0.231";"28.6"
"2019-09-22 04:48:20.535";"2019-09-22";"04:48:20";"F";"2288";"271";"326";"475";"0.169";"33.7"
"2019-09-22 04:48:42.056";"2019-09-22";"04:48:42";"F";"2289";"269";"304";"700";"0.115";"33.8"
"2019-09-22 04:49:03.291";"2019-09-22";"04:49:03";"F";"2290";"264";"281";"1250";"0.060";"31.5"
"2019-09-22 04:49:57.581";"2019-09-22";"04:49:57";"FO";"2291";"261";"712";"0";"0.633";"0.0"
"2019-09-22 04:50:17.685";"2019-09-22";"04:50:17";"F";"2292";"380";"681";"60";"0.442";"11.1"
"2019-09-22 04:50:38.874";"2019-09-22";"04:50:38";"F";"2293";"350";"635";"85";"0.449";"16.0"
"2019-09-22 04:51:01.353";"2019-09-22";"04:51:01";"F";"2294";"355";"609";"120";"0.417";"21.0"
"2019-09-22 04:51:22.338";"2019-09-22";"04:51:22";"F";"2295";"383";"578";"198";"0.337";"28.0"
"2019-09-22 04:51:43.384";"2019-09-22";"04:51:43";"F";"2296";"400";"540";"295";"0.259";"32.1"
"2019-09-22 04:52:04.695";"2019-09-22";"04:52:04";"F";"2297";"412";"506";"475";"0.186";"37.1"
"2019-09-22 04:52:25.522";"2019-09-22";"04:52:25";"F";"2298";"412";"469";"700";"0.122";"35.9"
"2019-09-22 04:52:47.823";"2019-09-22";"04:52:47";"F";"2299";"406";"434";"1250";"0.065";"34.1"
"2019-09-22 04:53:28.275";"2019-09-22";"04:53:28";"FO";"2300";"204";"522";"0";"0.609";"0.0"
"2019-09-22 04:53:48.152";"2019-09-22";"04:53:48";"F";"2301";"277";"470";"60";"0.411";"10.4"
"2019-09-22 04:54:09.759";"2019-09-22";"04:54:09";"F";"2302";"242";"416";"85";"0.418";"14.9"
"2019-09-22 04:54:29.451";"2019-09-22";"04:54:29";"F";"2303";"238";"391";"120";"0.391";"19.7"
"2019-09-22 04:54:50.853";"2019-09-22";"04:54:50";"F";"2304";"248";"362";"198";"0.315";"26.2"
"2019-09-22 04:55:11.399";"2019-09-22";"04:55:11";"F";"2305";"251";"336";"295";"0.253";"31.3"
"2019-09-22 04:55:32.653";"2019-09-22";"04:55:32";"F";"2306";"251";"307";"475";"0.182";"36.3"
"2019-09-22 04:55:52.698";"2019-09-22";"04:55:52";"F";"2307";"245";"281";"700";"0.128";"37.6"
"2019-09-22 04:56:13.710";"2019-09-22";"04:56:13";"F";"2308";"238";"256";"1250";"0.070";"36.8"
"2019-09-22 04:57:11.465";"2019-09-22";"04:57:11";"FO";"2309";"337";"990";"0";"0.660";"0.0"
"2019-09-22 04:57:30.837";"2019-09-22";"04:57:30";"F";"2310";"534";"909";"60";"0.413";"10.4"
"2019-09-22 04:57:51.590";"2019-09-22";"04:57:51";"F";"2311";"469";"815";"85";"0.425";"15.2"
"2019-09-22 04:58:12.585";"2019-09-22";"04:58:12";"F";"2312";"465";"761";"120";"0.389";"19.6"
"2019-09-22 04:58:33.979";"2019-09-22";"04:58:33";"F";"2313";"489";"699";"198";"0.300";"24.9"
"2019-09-22 04:58:53.947";"2019-09-22";"04:58:53";"F";"2314";"495";"645";"295";"0.233";"28.9"
"2019-09-22 04:59:15.482";"2019-09-22";"04:59:15";"F";"2315";"500";"599";"475";"0.165";"32.9"
"2019-09-22 04:59:36.031";"2019-09-22";"04:59:36";"F";"2316";"496";"554";"700";"0.105";"30.9"
"2019-09-22 04:59:56.728";"2019-09-22";"04:59:56";"F";"2317";"482";"512";"1250";"0.059";"31.0"
"2019-09-22 05:00:48.790";"2019-09-22";"05:00:48";"FO";"2318";"180";"483";"0";"0.627";"0.0"
"2019-09-22 05:01:10.307";"2019-09-22";"05:01:10";"F";"2319";"243";"433";"60";"0.439";"11.1"
"2019-09-22 05:01:30.067";"2019-09-22";"05:01:30";"F";"2320";"217";"391";"85";"0.445";"15.9"
"2019-09-22 05:01:51.153";"2019-09-22";"05:01:51";"F";"2321";"216";"368";"120";"0.413";"20.8"
"2019-09-22 05:02:12.947";"2019-09-22";"05:02:12";"F";"2322";"232";"342";"198";"0.322";"26.8"
"2019-09-22 05:02:33.275";"2019-09-22";"05:02:33";"F";"2323";"243";"322";"295";"0.245";"30.4"
"2019-09-22 05:02:53.853";"2019-09-22";"05:02:53";"F";"2324";"247";"303";"475";"0.185";"36.9"
"2019-09-22 05:03:14.353";"2019-09-22";"05:03:14";"F";"2325";"251";"285";"700";"0.119";"35.0"
"2019-09-22 05:03:34.769";"2019-09-22";"05:03:34";"F";"2326";"244";"263";"1250";"0.072";"37.8"
"2019-09-22 05:04:24.048";"2019-09-22";"05:04:24";"FO";"2327";"216";"689";"0";"0.687";"0.0"
"2019-09-22 05:04:43.759";"2019-09-22";"05:04:43";"F";"2328";"394";"659";"60";"0.402";"10.1"
"2019-09-22 05:05:05.282";"2019-09-22";"05:05:05";"F";"2329";"384";"606";"85";"0.366";"13.1"
"2019-09-22 05:05:26.275";"2019-09-22";"05:05:26";"F";"2330";"373";"562";"120";"0.336";"16.9"
"2019-09-22 05:05:46.047";"2019-09-22";"05:05:46";"F";"2331";"394";"530";"198";"0.257";"21.4"
"2019-09-22 05:06:07.353";"2019-09-22";"05:06:07";"F";"2332";"404";"496";"295";"0.185";"22.9"
"2019-09-22 05:06:28.353";"2019-09-22";"05:06:28";"F";"2333";"410";"468";"475";"0.124";"24.7"
"2019-09-22 05:06:49.353";"2019-09-22";"05:06:49";"F";"2334";"405";"440";"700";"0.080";"23.5"
"2019-09-22 05:07:09.243";"2019-09-22";"05:07:09";"F";"2335";"396";"411";"1250";"0.036";"18.9"
"2019-09-22 05:07:47.034";"2019-09-22";"05:07:47";"FO";"2336";"281";"747";"0";"0.624";"0.0"
"2019-09-22 05:08:07.775";"2019-09-22";"05:08:07";"F";"2337";"369";"560";"60";"0.341";"8.6"
"2019-09-22 05:08:28.819";"2019-09-22";"05:08:28";"F";"2338";"280";"427";"85";"0.344";"12.3"
