time_date,sampleID,habitat,genus,species,site,PAMID,replicate,PAR,F,Fm
17/09/2019,C1,cryptic,Acropora,Acropora verweyi,avarua_east,1,1,0,310,798
17/09/2019,C1,cryptic,Acropora,Acropora verweyi,avarua_east,1,1,61,540,763
17/09/2019,C1,cryptic,Acropora,Acropora verweyi,avarua_east,1,1,91,495,672
17/09/2019,C1,cryptic,Acropora,Acropora verweyi,avarua_east,1,1,126,451,598
17/09/2019,C1,cryptic,Acropora,Acropora verweyi,avarua_east,1,1,214,446,542
17/09/2019,C1,cryptic,Acropora,Acropora verweyi,avarua_east,1,1,320,429,496
17/09/2019,C1,cryptic,Acropora,Acropora verweyi,avarua_east,1,1,503,385,411
17/09/2019,C1,cryptic,Acropora,Acropora verweyi,avarua_east,1,1,801,341,361
17/09/2019,C1,cryptic,Acropora,Acropora verweyi,avarua_east,1,1,1409,322,332
17/09/2019,E1,exposed,Acropora,Acropora verweyi,avarua_east,2,1,0,402,888
17/09/2019,E1,exposed,Acropora,Acropora verweyi,avarua_east,2,1,61,531,732
17/09/2019,E1,exposed,Acropora,Acropora verweyi,avarua_east,2,1,91,429,578
17/09/2019,E1,exposed,Acropora,Acropora verweyi,avarua_east,2,1,126,370,492
17/09/2019,E1,exposed,Acropora,Acropora verweyi,avarua_east,2,1,214,348,434
17/09/2019,E1,exposed,Acropora,Acropora verweyi,avarua_east,2,1,320,325,385
17/09/2019,E1,exposed,Acropora,Acropora verweyi,avarua_east,2,1,503,306,345
17/09/2019,E1,exposed,Acropora,Acropora verweyi,avarua_east,2,1,801,284,309
17/09/2019,E1,exposed,Acropora,Acropora verweyi,avarua_east,2,1,1409,265,278
17/09/2019,C2,cryptic,Acropora,Acropora verweyi,avarua_east,3,2,0,422,1212
17/09/2019,C2,cryptic,Acropora,Acropora verweyi,avarua_east,3,2,61,787,1116
17/09/2019,C2,cryptic,Acropora,Acropora verweyi,avarua_east,3,2,91,713,983
17/09/2019,C2,cryptic,Acropora,Acropora verweyi,avarua_east,3,2,126,650,880
17/09/2019,C2,cryptic,Acropora,Acropora verweyi,avarua_east,3,2,214,657,801
17/09/2019,C2,cryptic,Acropora,Acropora verweyi,avarua_east,3,2,320,638,732
17/09/2019,C2,cryptic,Acropora,Acropora verweyi,avarua_east,3,2,503,618,676
17/09/2019,C2,cryptic,Acropora,Acropora verweyi,avarua_east,3,2,801,595,629
